coord,interval,distance,elevation
"(48.39742, 11.024115)",79.666517,42206.044761000005,475
"(48.398363, 11.020847)",263.145641,42469.19040200001,500
"(48.398672, 11.019728)",89.498355,42558.68875700001,493
"(48.398983, 11.018436)",101.488326,42660.17708300001,487
"(48.399201, 11.017419)",78.919964,42739.09704700001,487
"(48.399348, 11.016617)",61.440842,42800.537889000014,481
"(48.399473, 11.015876)",56.4592,42856.99708900001,481
"(48.399601, 11.014962)",68.981077,42925.97816600001,481
"(48.399701, 11.014113)",63.674702,42989.652868000005,481
"(48.399789, 11.013166)",70.614213,43060.267081000005,481
"(48.399872, 11.012058)",82.340858,43142.60793900001,489
"(48.400022, 11.009879)",161.773345,43304.38128400001,486
"(48.400337, 11.005395)",332.972982,43637.35426600001,499
"(48.400736, 10.999636)",427.584268,44064.93853400001,496
"(48.4009, 10.997001)",195.43437,44260.37290400001,495
"(48.401197, 10.992486)",335.040596,44595.41350000001,501
"(48.401574, 10.986995)",407.640091,45003.05359100001,516
"(48.401674, 10.985271)",127.791498,45130.84508900001,516
"(48.401735, 10.983877)",103.161309,45234.00639800001,516
"(48.401752, 10.982544)",98.451578,45332.45797600001,517
"(48.401738, 10.980864)",124.066891,45456.524867000015,513
"(48.401665, 10.97744)",252.970777,45709.49564400002,507
"(48.401595, 10.974068)",249.122617,45958.61826100002,504
"(48.401633, 10.972353)",126.712478,46085.33073900002,471
"(48.401674, 10.971349)",74.279149,46159.60988800002,471
"(48.401755, 10.970141)",89.656837,46249.26672500002,469
"(48.401876, 10.968935)",90.066367,46339.33309200002,469
"(48.402033, 10.967751)",89.157219,46428.49031100002,471
"(48.402262, 10.966314)",109.126457,46537.61676800002,467
"(48.402412, 10.965373)",71.460834,46609.07760200002,467
"(48.402788, 10.963244)",162.677767,46771.75536900002,466
"(48.403044, 10.961733)",115.150963,46886.90633200002,467
"(48.403369, 10.959742)",151.397085,47038.30341700002,468
"(48.403903, 10.956446)",250.521824,47288.82524100002,466
"(48.404241, 10.954463)",151.174165,47439.99940600002,469
"(48.404364, 10.953673)",59.916247,47499.91565300002,465
"(48.404792, 10.951116)",194.716322,47694.63197500002,465
"(48.40501, 10.949795)",100.509835,47795.141810000016,465
"(48.405276, 10.948217)",120.214903,47915.356713000016,465
"(48.405414, 10.947413)",61.318184,47976.67489700002,467
"(48.40588, 10.94449)",221.964526,48198.63942300002,465
"(48.406252, 10.942296)",167.199404,48365.83882700002,464
"(48.406911, 10.938333)",301.654772,48667.49359900002,467
"(48.407274, 10.936123)",168.097874,48835.59147300002,468
"(48.407652, 10.933988)",163.148585,48998.740058000025,466
"(48.408161, 10.930783)",243.31784,49242.05789800003,466
"(48.408507, 10.92872)",157.105879,49399.16377700003,468
"(48.408821, 10.926831)",143.777753,49542.94153000003,464
"(48.40897, 10.925935)",68.19877,49611.140300000035,464
"(48.409519, 10.922623)",252.042543,49863.18284300004,464
"(48.410012, 10.919626)",227.967267,50091.15011000004,468
"(48.410475, 10.916835)",212.400362,50303.55047200004,462
"(48.410673, 10.915647)",90.433412,50393.98388400004,464
"(48.410796, 10.914887)",57.75489,50451.738774000034,464
"(48.411062, 10.913246)",124.715515,50576.45428900004,464
"(48.411278, 10.911989)",95.863431,50672.317720000035,464
"(48.41146, 10.910863)",85.561255,50757.878975000036,464
"(48.41233, 10.905606)",399.999198,51157.878173000034,461
"(48.412607, 10.903944)",126.510996,51284.38916900003,460
"(48.413022, 10.90145)",189.823354,51474.21252300003,460
"(48.413265, 10.89979)",125.497791,51599.71031400003,462
"(48.413484, 10.898172)",121.909805,51721.620119000036,462
"(48.41365, 10.896827)",100.99846,51822.61857900004,462
"(48.413801, 10.895419)",105.29528,51927.91385900004,463
"(48.413957, 10.893767)",123.188498,52051.10235700004,463
"(48.414072, 10.89245)",98.066221,52149.16857800004,462
"(48.414234, 10.889767)",198.891724,52348.06030200004,464
"(48.414297, 10.888243)",112.727825,52460.78812700004,460
"(48.414333, 10.887241)",74.081216,52534.86934300004,463
"(48.41438, 10.885191)",151.431946,52686.30128900004,465
"(48.414403, 10.88415)",76.89456,52763.19584900004,465
"(48.414471, 10.881448)",199.618746,52962.81459500004,466
"(48.414475, 10.881256)",14.181389,52976.99598400004,466
"(48.414542, 10.878305)",217.984971,53194.980955000035,465
"(48.414567, 10.877165)",84.206339,53279.18729400003,465
"(48.414585, 10.876433)",54.076896,53333.26419000003,466
"(48.414594, 10.876048)",28.440199,53361.70438900003,466
"(48.414609, 10.875458)",43.588607,53405.292996000026,466
"(48.414612, 10.875348)",8.127585,53413.42058100003,466
"(48.414661, 10.873694)",122.227799,53535.64838000003,464
"(48.414696, 10.87207)",119.954572,53655.60295200003,471
"(48.41474, 10.869446)",193.777791,53849.38074300003,470
